alpha_id,segment,benchmark,window_minutes,sampling_minutes,mean,std,p05,p95
LT_MOM_1440,train,ETH_SPOT,1440,5,0.005910900746408979,0.5435716982705325,-0.7911023913382633,0.82380212994554
LT_MOM_1440,validation,ETH_SPOT,1440,5,-0.0049351477856217,0.6078675893249222,-0.8062606441627709,0.8814942380041791
LT_MOM_4320,train,BTC_SPOT,60,5,0.009545108655375277,0.9112639890221682,-1.0523530472275573,1.039520799710728
LT_MOM_4320,validation,BTC_SPOT,60,5,0.012261083518018634,0.9650673532164956,-1.069191114457691,1.0534715724258465
LT_MOM_4320,train,BTC_SPOT,240,5,0.009630763944838661,0.9018781423879605,-1.0374559714638014,1.021194743908265
LT_MOM_4320,validation,BTC_SPOT,240,5,0.012898334825654048,0.9536201607352113,-1.0498366016323075,1.0287711669292323
LT_MOM_4320,train,BTC_SPOT,1440,5,0.011532648357175816,0.8436638408293845,-1.0160942415997527,1.0121002680219922
LT_MOM_4320,validation,BTC_SPOT,1440,5,0.012168178727331542,0.8813434073005557,-1.0312414214730552,1.0167630383016149
LT_MOM_4320,train,ETH_SPOT,60,5,0.010401387456947965,0.665406740156912,-0.9362485794311514,0.9911415749940065
LT_MOM_4320,validation,ETH_SPOT,60,5,0.023803790016503457,0.7593576270153602,-1.0054677038611137,1.095238881589721
LT_MOM_4320,train,ETH_SPOT,240,5,0.00965611703746997,0.6423341284921155,-0.8829429436389956,0.9301492397164486
LT_MOM_4320,validation,ETH_SPOT,240,5,0.024888976061169563,0.7254947752542905,-0.92179252136431,0.9969931924676736
LT_MOM_4320,train,ETH_SPOT,1440,5,0.00892803473736856,0.5929530649744045,-0.8188657279702077,0.8678261383442716
LT_MOM_4320,validation,ETH_SPOT,1440,5,0.024436848492890722,0.6691692069321041,-0.8481088098964374,0.9131847806032031
LT_MR_Z_0240,train,BTC_SPOT,60,5,-0.010269939454358423,0.8922768266923983,-1.0862003166711685,1.0330579000746754
LT_MR_Z_0240,validation,BTC_SPOT,60,5,-0.005618465919462179,0.9073669135785681,-1.079300534058727,1.0451697691168023
LT_MR_Z_0240,train,BTC_SPOT,240,5,-0.008907117203669799,0.7904994200833179,-1.0634123966180675,1.0091222877823864
LT_MR_Z_0240,validation,BTC_SPOT,240,5,-0.007648833343789537,0.8042803216200592,-1.0533327820681095,1.014345180286946
LT_MR_Z_0240,train,BTC_SPOT,1440,5,0.009751814583482303,0.5239113627101066,-0.8659281982832936,0.8360630498569833
LT_MR_Z_0240,validation,BTC_SPOT,1440,5,-0.007378738254795212,0.5356208975718181,-0.8861773592914618,0.8521216611685622
LT_MR_Z_0240,train,ETH_SPOT,60,5,-0.008486862950119932,0.6556046615544173,-1.0025431183060078,0.9414551000297995
LT_MR_Z_0240,validation,ETH_SPOT,60,5,-0.014145105342129146,0.7183868093716633,-1.0881627836491312,1.0026052912410035
LT_MR_Z_0240,train,ETH_SPOT,240,5,-0.006900768950101225,0.570382006316842,-0.9017713372238849,0.8350948430378589
LT_MR_Z_0240,validation,ETH_SPOT,240,5,-0.016708879476628503,0.6201527986301684,-0.9655428153676446,0.881546787593406
LT_MR_Z_0240,train,ETH_SPOT,1440,5,0.01433052527269935,0.37247966679974387,-0.621262652718046,0.6081480278764562
LT_MR_Z_0240,validation,ETH_SPOT,1440,5,-0.005325173723668208,0.4109667982622503,-0.7112660879590823,0.6106235852253338
LT_MR_Z_1440,train,BTC_SPOT,60,5,-0.035873776461940836,0.9839829799918136,-1.1638166121045241,1.0393676912422294
LT_MR_Z_1440,validation,BTC_SPOT,60,5,-0.018910992640608467,0.8588095526911309,-1.1086113773892687,1.036725241764834
LT_MR_Z_1440,train,BTC_SPOT,240,5,-0.0348932561285571,0.9578891852334825,-1.1506453312759317,1.0200310594832165
LT_MR_Z_1440,validation,BTC_SPOT,240,5,-0.019142238202075775,0.8433274238731516,-1.093564700961692,1.0181824005729556
LT_MR_Z_1440,train,BTC_SPOT,1440,5,-0.026375937006488354,0.7849412093950836,-1.1277661610836371,1.00413562386213
